lat,lon
13.13746979787535,77.6130780252392
13.136405348983466,77.61306675922965
13.135911213585242,77.61287448520572
13.138040111681132,77.61289701568421
13.138610425493614,77.61271600552429
13.135417077881627,77.61268221211752
13.13501194162541,77.61249088157203
13.138820172479061,77.61253117872747
13.138872595921871,77.61234468673014
13.13497025695769,77.61230339670301
13.134928572141058,77.61211591187204
13.138925019243848,77.61215819462925
13.138977442444988,77.6119717024248
13.134886887175517,77.61192842707912
13.134845202061074,77.61174094232423
13.139029865525295,77.61178521011676
13.139082288484765,77.61159871770518
13.134803516797726,77.6115534576074
13.134761831385482,77.61136597292862
13.139134711323392,77.61141222519002
13.13918713404118,77.61122573257131
13.134720145824327,77.61117848828789
13.134678460114278,77.61099100368523
13.13923955663813,77.61103923984905
13.139291979114228,77.61085274702322
13.134636774255327,77.61080351912062
13.134595088247481,77.61061603459406
13.139344401469485,77.61066625409384
13.139396823703892,77.6104797610609
13.134553402090738,77.61042855010558
13.134511715785104,77.61024106565516
13.139449245817453,77.61029326792442
13.13950166781016,77.61010677468438
13.13447002933057,77.61005358124278
13.134428342727142,77.60986609686849
13.139554089682019,77.60992028134079
13.13960651143302,77.60973378789366
13.134386655974833,77.60967861253225
13.134344969073629,77.6094911282341
13.13965893306316,77.60954729434297
13.139711354572448,77.60936080068875
13.134303282023536,77.60930364397402
13.134261594824558,77.60911615975199
13.139763775960878,77.60917430693098
13.139816197228443,77.60898781306966
13.134219907476695,77.60892867556807
13.134178219979944,77.6087411914222
13.139868618375143,77.60880131910483
13.139921039400981,77.60861482503643
13.134136532334313,77.60855370731441
13.134245102876088,77.60836781034796
13.139973460305953,77.6084283308645
13.140025881090057,77.60824183658904
13.134640853003427,77.60818494640012
13.135036603099461,77.60800208196372
13.140078301753286,77.60805534221004
13.139412753942413,77.60786126229816
13.135432353164179,77.60781921703874
13.13582810319757,77.60763635162517
13.137276324070363,77.60765164708306
